province,place,activity,description,primary_type,sub_types
Lâm Đồng,Thung lũng Vàng,Dạo bộ rừng thông; ngắm hồ nước; chụp ảnh nghệ thuật,Thung lũng Vàng tại Đà Lạt là một khu du lịch sinh thái tuyệt đẹp với sự kết hợp hài hòa giữa rừng thông bạt ngàn và những hồ nước phẳng lặng. Đây là nơi tuyệt vời để trốn khỏi sự ồn ào; tận hưởng không gian xanh mát và không khí trong lành mang đậm chất lãng mạn của cao nguyên.,Sinh thái - Thiên nhiên,Giải trí - Nghỉ dưỡng
Bình Thuận,Bàu Trắng,Lái xe địa hình trên cát; trượt cát; chụp ảnh hoa sen,"Bàu Trắng được ví như ""Sahara của Việt Nam"" với những đồi cát trắng xóa bao quanh hồ nước ngọt đầy hoa sen tại Bình Thuận. Nếu bạn là người yêu thích sự thách thức; hoạt động lái xe mô tô địa hình trên cát sẽ mang lại cảm giác cực kỳ phấn khích và những bức ảnh thiên nhiên vô cùng ấn tượng.",Mạo hiểm - Trải nghiệm,Sinh thái - Thiên nhiên;Giải trí - Nghỉ dưỡng
Ninh Thuận,Tháp Po Klong Garai,Tham quan kiến trúc tháp Chăm; dự lễ hội; chụp ảnh,Tháp Po Klong Garai là quần thể tháp Chăm hùng vĩ và nguyên vẹn nhất còn sót lại trên vùng đất đầy nắng gió Ninh Thuận. Nằm trên đồi cao lộng gió; nơi đây mang lại không gian văn hóa - tâm linh uy nghiêm; rất phù hợp để du khách tìm hiểu về bản sắc và nghệ thuật kiến trúc tinh xảo.,Văn hóa,Tâm linh;Giải trí - Nghỉ dưỡng
Quảng Nam,Làng bích họa Tam Thanh,Tham quan các bức vẽ trên tường; chụp ảnh; dạo biển,Làng bích họa Tam Thanh là điểm đến văn hóa đầy màu sắc nơi những bức tường nhà cũ kỹ được khoác lên mình những tác phẩm nghệ thuật sinh động kể về đời sống ngư dân. Đây là nơi tuyệt vời để dạo bộ; cảm nhận sự gần gũi của con người miền biển và lưu lại những khung hình nghệ thuật.,Văn hóa,Giải trí - Nghỉ dưỡng;Biển Đảo
Hải Dương,Đảo Cò Chi Lăng Nam,Đi thuyền ngắm cò; dã ngoại sinh thái,Đảo Cò Chi Lăng Nam là điểm du lịch sinh thái độc đáo tại Hải Dương nơi cư ngụ của hàng vạn con cò vạc giữa lòng hồ lớn. Du khách sẽ được ngồi thuyền lênh đênh trên mặt nước phẳng lặng; quan sát đời sống tự nhiên của loài chim và tận hưởng không gian đồng quê vô cùng yên bình.,Sinh thái - Thiên nhiên,Giải trí - Nghỉ dưỡng
Phú Yên,Nhà thờ Mằng Lăng,Tham quan kiến trúc Gothic cổ; tìm hiểu cuốn sách chữ quốc ngữ,Nhà thờ Mằng Lăng là một trong những nhà thờ cổ nhất Việt Nam mang vẻ đẹp trầm mặc với lớp sơn xám theo thời gian tại Phú Yên. Đây là nơi lưu giữ cuốn sách in bằng chữ Quốc ngữ đầu tiên; là điểm đến văn hóa - tâm linh đặc biệt thu hút những ai yêu thích lịch sử và kiến trúc cổ.,Tâm linh,Văn hóa
Hà Giang,Cực Bắc Lũng Cú,Tham quan cột cờ quốc gia; ngắm nhìn biên giới; tìm hiểu văn hóa người Lô Lô; chụp ảnh check-in,"Nếu bạn là người yêu thích sự thách thức, Cực Bắc Lũng Cú tại Hà Giang chính là điểm đến dành cho bạn. Với địa hình độc đáo và cảnh quan hùng vĩ, du khách sẽ được tham gia vào các hoạt động tham quan cột cờ, mang lại cảm giác chinh phục và những kỷ niệm khó quên giữa thiên nhiên hoang dã.",Văn hóa,Mạo hiểm - Trải nghiệm;Sinh thái - Thiên nhiên
Quảng Nam,Phố cổ Hội An,Tham quan nhà cổ; dạo phố đèn lồng; thưởng thức đặc sản; đi thuyền sông Hoài; chụp ảnh,"Phố cổ Hội An là minh chứng cho bề dày lịch sử và bản sắc văn hóa đặc sắc của vùng đất Quảng Nam. Tại đây, du khách không chỉ được chiêm ngưỡng kiến trúc cổ kính mà còn có cơ hội tìm hiểu sâu hơn về các giá trị truyền thống, phong tục tập quán lâu đời.",Văn hóa,Giải trí - Nghỉ dưỡng;Ẩm thực
Ninh Thuận,Vườn nho Thái An,Tham quan vườn nho; hái nho; thưởng thức sản phẩm từ nho; chụp ảnh,"Vườn nho Thái An là thiên đường ẩm thực và trải nghiệm nông nghiệp không thể bỏ qua khi đến Ninh Thuận. Tại đây, du khách sẽ được thưởng thức những chùm nho chín mọng, đồng thời trải nghiệm không khí náo nhiệt của nhà vườn và tìm hiểu quy trình canh tác.",Ẩm thực,Giải trí - Nghỉ dưỡng;Văn hóa
Bà Rịa - Vũng Tàu,Mũi Nghinh Phong,Ngắm biển; chụp ảnh cổng trời; hóng gió; leo núi nhẹ,"Mũi Nghinh Phong được thiên nhiên ban tặng cho vẻ đẹp hoang sơ với làn nước trong xanh và bãi cát trải dài tại Vũng Tàu. Đây là điểm đến lý tưởng cho các kỳ nghỉ dưỡng, nơi du khách có thể đón gió biển và ngắm nhìn khung cảnh hoàng hôn tuyệt đẹp.",Biển Đảo,Giải trí - Nghỉ dưỡng
Quảng Ninh,Bình Liêu,Trekking sống lưng khủng long; ngắm hoa lau; chụp ảnh cột mốc; thưởng thức đặc sản,"Nếu bạn là người yêu thích sự thách thức, Bình Liêu tại Quảng Ninh chính là điểm đến dành cho bạn. Với địa hình đồi núi độc đáo và cảnh quan hùng vĩ của những đồi lau, du khách sẽ được tham gia vào các hoạt động trekking, mang lại cảm giác chinh phục tuyệt vời.",Mạo hiểm - Trải nghiệm,Sinh thái - Thiên nhiên
Lào Cai,Đèo Ô Quy Hồ,Ngắm cảnh; săn mây; chụp ảnh check-in; thưởng thức cơm lam thịt nướng,"Nếu bạn là người yêu thích sự thách thức, Đèo Ô Quy Hồ tại Lào Cai chính là điểm đến dành cho bạn. Với cung đường uốn lượn và cảnh quan hùng vĩ của núi rừng Tây Bắc, du khách sẽ được trải nghiệm cảm giác chinh phục một trong tứ đại đỉnh đèo của Việt Nam.",Mạo hiểm - Trải nghiệm,Sinh thái - Thiên nhiên;Ẩm thực
Gia Lai,Chùa Minh Thành,Tham quan chùa; chiêm bái; chụp ảnh kiến trúc; vãn cảnh,"Chùa Minh Thành tọa lạc tại Gia Lai, là một điểm đến tâm linh linh thiêng mang đậm nét kiến trúc độc đáo. Không gian nơi đây thanh tịnh, bao quanh bởi cảnh sắc thiên nhiên hài hòa, rất phù hợp để du khách đến chiêm bái, cầu an và tìm lại sự thư thái.",Tâm linh,Văn hóa;Giải trí - Nghỉ dưỡng
Ninh Bình,Rừng Quốc gia Cúc Phương,Trekking xuyên rừng; tham quan bảo tồn động vật; cắm trại; đạp xe,"Đến với Rừng Quốc gia Cúc Phương tại Ninh Bình, du khách sẽ được đắm mình trong không gian xanh ngắt của rừng già và hệ sinh thái đa dạng bậc nhất. Đây là nơi tuyệt vời để trải nghiệm các hoạt động khám phá thiên nhiên và tận hưởng không khí trong lành.",Sinh thái - Thiên nhiên,Mạo hiểm - Trải nghiệm;Giải trí - Nghỉ dưỡng
An Giang,Miếu Bà Chúa Xứ Núi Sam,Hành hương; cầu may; tham quan núi Sam; lễ Bà,"Miếu Bà Chúa Xứ Núi Sam tọa lạc tại An Giang, là một điểm đến tâm linh linh thiêng mang đậm nét văn hóa vùng sông nước. Không gian nơi đây thanh tịnh, rất phù hợp để du khách đến chiêm bái, cầu an và tham gia các lễ hội truyền thống đặc sắc.",Tâm linh,Văn hóa;Giải trí - Nghỉ dưỡng
Quảng Ninh,Vịnh Hạ Long,Đi du thuyền; tham quan hang động; chèo thuyền kayak; tắm biển; ngắm cảnh,"Vịnh Hạ Long là di sản thiên nhiên thế giới với hàng ngàn hòn đảo đá vôi mang những hình thù độc đáo nổi bật trên mặt nước biển xanh ngắt. Tham quan vịnh bằng du thuyền, khám phá các hang động kỳ bí như hang Sửng Sốt hay chèo thuyền kayak qua các vách đá là những trải nghiệm đẳng cấp thu hút khách du lịch quốc tế.",Biển Đảo,Sinh thái - Thiên nhiên;Giải trí - Nghỉ dưỡng
Hà Nội,Hoàng thành Thăng Long,Tham quan di tích; tìm hiểu lịch sử; chụp ảnh; xem khu khảo cổ,"Hoàng thành Thăng Long là di sản văn hóa thế giới minh chứng cho hơn 1000 năm lịch sử của thủ đô Hà Nội. Tại đây, du khách sẽ được khám phá những tầng tầng lớp lớp kiến trúc từ thời Lý, Trần, Lê và cảm nhận hồn thiêng sông núi qua những hiện vật khảo cổ quý giá.",Văn hóa,Văn hóa;Tâm linh
Kiên Giang,Đảo Phú Quốc,Tắm biển; lặn ngắm san hô; vui chơi giải trí; tham quan vườn tiêu; ăn hải sản,"Đảo Ngọc Phú Quốc hấp dẫn du khách bởi những bãi biển cát trắng mịn màng như bãi Sao, bãi Khem cùng nước biển trong vắt. Bên cạnh nghỉ dưỡng cao cấp, du khách còn có thể trải nghiệm lặn ngắm san hô, tham quan nhà thùng nước mắm truyền thống và thưởng thức hải sản tươi ngon ngay tại làng chài.",Biển Đảo,Giải trí - Nghỉ dưỡng;Ẩm thực
Đà Nẵng,Bà Nà Hills,Đi cáp treo; tham quan Cầu Vàng; vui chơi trong nhà; chụp ảnh kiến trúc Pháp,"Bà Nà Hills là một trong những tổ hợp du lịch nghỉ dưỡng hàng đầu Việt Nam, nổi tiếng với Cầu Vàng vươn ra giữa mây ngàn. Với khí hậu bốn mùa trong một ngày và làng Pháp mang phong cách châu Âu cổ điển, nơi đây là thiên đường cho những ai yêu thích chụp ảnh và trải nghiệm giải trí hiện đại.",Giải trí - Nghỉ dưỡng,Văn hóa;Ẩm thực
Lào Cai,Nhà thờ Đá Sa Pa,Tham quan; chụp ảnh; dạo bộ phố cổ; tham dự chợ tình,"Nhà thờ Đá Sa Pa là biểu tượng của thành phố sương mù, mang đậm kiến trúc Pháp cổ bằng đá nguyên khối. Nằm ngay trung tâm thị trấn, nơi đây là điểm tập trung các hoạt động văn hóa đặc sắc và là nơi du khách cảm nhận rõ nét nhất không khí cổ kính, lãng mạn của vùng cao Tây Bắc.",Tâm linh,Văn hóa;Giải trí - Nghỉ dưỡng
Lâm Đồng,Hồ Xuân Hương,Dạo quanh hồ; đạp vịt; thưởng thức cà phê; ngắm cảnh; dạo phố đêm,"Hồ Xuân Hương được ví như trái tim thơ mộng của thành phố Đà Lạt với mặt nước phẳng lặng như gương bao quanh bởi các rặng thông. Đây là nơi tuyệt vời để tận hưởng khí hậu mát mẻ, dạo bước dưới bóng cây xanh và cảm nhận nhịp sống chậm rãi, thanh bình của thành phố ngàn hoa.",Sinh thái - Thiên nhiên,Giải trí - Nghỉ dưỡng;Ẩm thực
Đắk Lắk,Khu du lịch Buôn Đôn,Cưỡi voi; đi cầu treo; tìm hiểu văn hóa người Ê Đê; thưởng thức rượu cần,"Buôn Đôn là minh chứng cho bản sắc văn hóa và truyền thống săn bắt, thuần dưỡng voi rừng đặc sắc của vùng đất Tây Nguyên. Tại đây, du khách được trải nghiệm đi cầu treo lắc lư qua dòng sông Serepok và tìm hiểu về phong tục tập quán lâu đời của đồng bào dân tộc địa phương.",Văn hóa,Sinh thái - Thiên nhiên;Giải trí - Nghỉ dưỡng
Quảng Nam,Làng rau Trà Quế,Trải nghiệm làm nông dân; thưởng thức rau sạch; học nấu ăn; chụp ảnh,"Làng rau Trà Quế là điểm đến văn hóa và nông nghiệp độc đáo, nơi du khách được hóa thân thành những nông dân thực thụ. Tại đây, bạn sẽ tìm hiểu quy trình trồng rau sạch truyền thống và thưởng thức những món ăn đặc sản đậm đà hương vị làng quê Hội An.",Văn hóa,Ẩm thực;Giải trí - Nghỉ dưỡng
Hà Tây,Chùa Hương,Đi thuyền suối Yến; leo núi; chiêm bái động Hương Tích; cầu an,Chùa Hương là quần thể văn hóa - tôn giáo nổi tiếng bậc nhất Việt Nam với lễ hội kéo dài nhất cả nước. Hành trình ngồi thuyền trên dòng suối Yến thơ mộng và leo núi chiêm bái các động chùa giúp du khách tìm về chốn tâm linh thanh tịnh giữa núi rừng hùng vĩ.,Tâm linh,Sinh thái - Thiên nhiên;Văn hóa
Ninh Bình,Tuyệt Tình Cốc,Tham quan hang động; ngắm hồ nước xanh; chụp ảnh; vãn cảnh chùa,"Động Am Tiên hay còn gọi là Tuyệt Tình Cốc, mang vẻ đẹp huyền bí với hồ nước xanh ngắt được bao bọc bởi những vách núi dựng đứng. Đây là nơi lý tưởng để thoát khỏi sự ồn ào, tìm về không gian tĩnh lặng mang màu sắc cổ tích và khám phá dấu tích lịch sử thời Đinh.",Sinh thái - Thiên nhiên,Tâm linh;Văn hóa
Lâm Đồng,Thác Datanla,Trải nghiệm máng trượt; đu dây vượt thác; tham quan cảnh thác,"Thác Datanla là điểm đến giải trí và sinh thái hấp dẫn tại Đà Lạt với dòng nước trong xanh đổ qua các tầng đá. Với hệ thống máng trượt hiện đại xuyên rừng thông và các trò chơi cảm giác mạnh, nơi đây mang lại sự hào hứng và trải nghiệm chinh phục thiên nhiên.",Giải trí - Nghỉ dưỡng,Mạo hiểm - Trải nghiệm;Sinh thái - Thiên nhiên
Sơn La,Cao nguyên Mộc Châu,Tham quan đồi chè; ngắm hoa mận; thưởng thức sữa bò tươi; chụp ảnh,"Mộc Châu là thiên đường của những đồi chè xanh mướt và những mùa hoa mận, hoa đào rực rỡ sắc màu Tây Bắc. Khí hậu mát mẻ quanh năm cùng không gian thảo nguyên bao la khiến nơi đây trở thành điểm đến nghỉ dưỡng và chụp ảnh lý tưởng cho mọi du khách.",Sinh thái - Thiên nhiên,Giải trí - Nghỉ dưỡng;Ẩm thực
Thái Nguyên,Hồ Núi Cốc,Đi thuyền tham quan; vui chơi công viên; nghe kể chuyện huyền thoại,"Hồ Núi Cốc là trung tâm du lịch sinh thái và giải trí gắn liền với huyền thoại về chàng Cốc và nàng Công. Du khách sẽ được lênh đênh trên mặt hồ mênh mông, tham quan các hang động nhân tạo và tận hưởng những giây phút thư giãn bên gia đình.",Giải trí - Nghỉ dưỡng,Sinh thái - Thiên nhiên;Văn hóa
Bình Định,Tháp Đôi,Tham quan tháp Chăm; chụp ảnh kiến trúc; tìm hiểu lịch sử,"Tháp Đôi là di tích kiến trúc Chăm Pa độc đáo nằm ngay trong lòng thành phố Quy Nhơn. Với hai tòa tháp song hành mang đường nét chạm khắc tinh xảo, nơi đây là minh chứng cho nền văn hóa rực rỡ và nghệ thuật xây dựng bậc thầy của người Chăm cổ.",Văn hóa,Tâm linh
Lạng Sơn,Mẫu Sơn,Ngắm cảnh núi non; săn mây; thưởng thức rượu và đào Mẫu Sơn,"Vùng núi Mẫu Sơn nổi tiếng với khí hậu trong lành và cảnh quan mây phủ huyền ảo quanh năm. Đây là nơi tuyệt vời để khám phá bản sắc văn hóa dân tộc Dao, tận hưởng không gian núi rừng nguyên sơ và trải nghiệm những mùa đông có tuyết rơi hiếm hoi ở Việt Nam.",Sinh thái - Thiên nhiên,Văn hóa;Ẩm thực
Quảng Trị,Thành cổ Quảng Trị,Tham quan di tích; dâng hương tưởng niệm; tìm hiểu lịch sử chiến tranh,"Thành cổ Quảng Trị là di tích quốc gia đặc biệt, nơi đã diễn ra cuộc chiến đấu 81 ngày đêm rực lửa trong lịch sử dân tộc. Đây là điểm đến mang ý nghĩa giáo dục truyền thống sâu sắc, giúp du khách tri ân các anh hùng liệt sĩ và trân trọng giá trị của hòa bình.",Văn hóa,Tâm linh
Phú Yên,Gành Đá Đĩa,Ngắm cảnh; chụp ảnh; tìm hiểu địa chất,"Gành Đá Đĩa là một tuyệt tác thiên nhiên độc nhất vô nhị tại Phú Yên với hàng nghìn cột đá hình lăng trụ xếp chồng lên nhau như những chiếc đĩa khổng lồ. Nhìn từ xa, gành đá như một tổ ong khổng lồ vươn mình ra biển xanh, tạo nên một khung cảnh kỳ vĩ, thu hút những ai yêu thích khám phá vẻ đẹp kỳ diệu của tạo hóa.",Biển Đảo,Sinh thái - Thiên nhiên
Bắc Ninh,Làng tranh Đông Hồ,Tìm hiểu nghệ thuật làm tranh; tự tay in tranh dân gian; tham quan làng nghề,"Làng tranh Đông Hồ là minh chứng cho tinh hoa văn hóa và nghệ thuật dân gian độc đáo của vùng Kinh Bắc. Tại đây, du khách không chỉ được tham quan quy trình làm giấy điệp thủ công mà còn có cơ hội tự tay in những bức tranh dân gian mang đậm biểu tượng may mắn và hồn cốt dân tộc Việt Nam.",Văn hóa,Giải trí - Nghỉ dưỡng
Hà Tĩnh,Ngã ba Đồng Lộc,Dâng hương tưởng niệm; tham quan bảo tàng; nghe kể chuyện lịch sử,"Ngã ba Đồng Lộc là di tích lịch sử linh thiêng gắn liền với sự hy sinh anh dũng của 10 cô gái thanh niên xung phong trong thời kỳ kháng chiến chống Mỹ. Đây là nơi giáo dục truyền thống yêu nước sâu sắc, giúp du khách tìm hiểu về một thời kỳ gian khổ nhưng hào hùng của dân tộc.",Văn hóa,Tâm linh
Kiên Giang,Đảo Thổ Chu,Khám phá đảo xa bờ; tắm biển; tìm hiểu đời sống biên phòng; lặn ngắm san hô,"Đảo Thổ Chu nằm xa bờ nhất của vùng biển Tây Nam, mang vẻ đẹp hoang sơ và yên bình tuyệt đối giữa đại dương bao la. Đây là nơi tuyệt vời để trải nghiệm không khí biển đảo nguyên sơ, khám phá hệ sinh thái biển đa dạng và cảm nhận tình yêu quê hương biển đảo tại vùng biên cương tổ quốc.",Biển Đảo,Sinh thái - Thiên nhiên;Mạo hiểm - Trải nghiệm
Ninh Bình,Cố đô Hoa Lư,Tham quan đền vua Đinh - vua Lê; tìm hiểu lịch sử; vãn cảnh núi non,"Cố đô Hoa Lư là kinh đô đầu tiên của nước Việt độc lập, gắn liền với lịch sử ba triều đại Đinh, Lê, Lý. Tại đây, du khách sẽ được chiêm bái các đền thờ cổ kính giữa vùng núi non hiểm trở và tìm hiểu về những trang sử hào hùng của dân tộc trong những ngày đầu dựng nước.",Văn hóa,Tâm linh
Nghệ An,Bãi biển Cửa Lò,Tắm biển; tham gia lễ hội; thưởng thức mực nhảy; dạo phố biển,"Bãi biển Cửa Lò được thiên nhiên ban tặng cho làn nước trong xanh và bãi cát thoải dài tại Nghệ An. Đây là điểm đến giải trí sôi động với nhiều dịch vụ nghỉ dưỡng cao cấp, giúp du khách tận hưởng kỳ nghỉ hè sảng khoái và thưởng thức những món hải sản tươi ngon đặc trưng vùng biển.",Biển Đảo,Giải trí - Nghỉ dưỡng;Ẩm thực
Quảng Nam,VinWonders Nam Hội An,Vui chơi cảm giác mạnh; tham quan đảo văn hóa dân gian; xem show diễn,"VinWonders Nam Hội An là tổ hợp giải trí và trải nghiệm văn hóa quy mô lớn nằm bên bờ biển miền Trung. Với các trò chơi hiện đại kết hợp với không gian làng nghề truyền thống và các show diễn thực cảnh, nơi đây đáp ứng mọi nhu cầu vui chơi và tìm hiểu văn hóa cho mọi lứa tuổi.",Giải trí - Nghỉ dưỡng,Văn hóa;Ẩm thực
Tây Ninh,Toà Thánh Tây Ninh,Tham quan kiến trúc tôn giáo; dự lễ cúng; chụp ảnh khuôn viên,"Toà Thánh Tây Ninh là công trình kiến trúc tôn giáo vĩ đại và là trung tâm của đạo Cao Đài. Với thiết kế rực rỡ sắc màu, sự kết hợp giữa nhiều phong cách kiến trúc thế giới và không gian tâm linh uy nghiêm, nơi đây mang lại cho du khách cảm giác huyền bí và ấn tượng sâu sắc.",Tâm linh,Văn hóa
Hà Nội,Nhà hát Lớn Hà Nội,Tham quan kiến trúc; xem biểu diễn nghệ thuật; chụp ảnh check-in,"Nhà hát Lớn Hà Nội là biểu tượng kiến trúc Pháp cổ điển giữa lòng thủ đô, nơi diễn ra các sự kiện văn hóa nghệ thuật trọng đại nhất. Với thiết kế sang trọng và tinh xảo đến từng chi tiết, đây là điểm đến lý tưởng để du khách chiêm ngưỡng vẻ đẹp cổ kính và quý phái của Hà Nội.",Văn hóa,Giải trí - Nghỉ dưỡng
Lâm Đồng,Dinh Bảo Đại (Dinh III),Tham quan biệt thự cổ; tìm hiểu lịch sử vua Bảo Đại; dạo vườn hoa,"Dinh III là nơi làm việc và sinh sống của vị vua cuối cùng triều Nguyễn tại Đà Lạt. Với kiến trúc cổ điển nằm giữa rừng thông xanh mướt, du khách có cơ hội tìm hiểu sâu hơn về cuộc sống của gia đình hoàng tộc và chiêm ngưỡng những hiện vật lịch sử được bảo tồn nguyên vẹn.",Văn hóa,Giải trí - Nghỉ dưỡng
Kiên Giang,Vinpearl Safari Phú Quốc,Tham quan vườn thú bán hoang dã; xem show chim; chụp ảnh thú,"Safari Phú Quốc là công viên bảo tồn động vật hoang dã lớn nhất Việt Nam với hệ sinh thái đa dạng từ khắp nơi trên thế giới. Đây là nơi tuyệt vời để các gia đình và trẻ em khám phá thiên nhiên hoang dã, tương tác trực tiếp với các loài thú quý hiếm trong môi trường mở.",Giải trí - Nghỉ dưỡng,Sinh thái - Thiên nhiên
Đà Nẵng,Công viên Châu Á (Asia Park),Vui chơi vòng quay Sun Wheel; trải nghiệm trò chơi cảm giác mạnh; chụp ảnh,"Asia Park Đà Nẵng là tổ hợp vui chơi giải trí hiện đại mang đậm phong cách Á Đông. Với các công trình thu nhỏ của nhiều quốc gia châu Á và các trò chơi đẳng cấp thế giới, nơi đây mang lại những giây phút sảng khoái và trải nghiệm văn hóa đa dạng cho mọi du khách.",Giải trí - Nghỉ dưỡng,Văn hóa
Thừa Thiên Huế,Lăng Gia Long,Tham quan lăng tẩm; tìm hiểu lịch sử; chụp ảnh,"Lăng Gia Long hay Thiên Thọ Lăng là nơi yên nghỉ của vị vua đầu tiên triều Nguyễn. Nằm giữa không gian núi non hùng vĩ và hồ nước bao quanh, lăng mang vẻ đẹp tĩnh mịch và uy nghiêm, thể hiện tư tưởng phong thủy hài hòa giữa kiến trúc cung đình và thiên nhiên.",Văn hóa,Tâm linh;Sinh thái - Thiên nhiên
Bà Rịa - Vũng Tàu,Hải đăng Vũng Tàu,Tham quan hải đăng cổ; ngắm toàn cảnh thành phố; chụp ảnh,"Hải đăng Vũng Tàu tọa lạc trên đỉnh núi Nhỏ, là một trong những ngọn hải đăng lâu đời nhất Đông Nam Á. Với kiến trúc tháp tròn trắng muốt nổi bật trên nền trời xanh, từ đây du khách có thể phóng tầm mắt ngắm nhìn toàn cảnh eo biển và thành phố Vũng Tàu rực rỡ về đêm.",Biển Đảo,Văn hóa;Giải trí - Nghỉ dưỡng
Hồ Chí Minh,Chợ Bến Thành,Mua sắm đặc sản; thưởng thức ẩm thực; chụp ảnh cửa Tây,"Chợ Bến Thành là biểu tượng lịch sử và thương mại lâu đời nhất tại TP.HCM. Tại đây, du khách sẽ được đắm mình trong không gian giao thương náo nhiệt, thưởng thức đủ loại món ăn đặc sản vùng miền và tìm mua những món đồ lưu niệm thủ công tinh xảo của Việt Nam.",Văn hóa,Ẩm thực;Giải trí - Nghỉ dưỡng
Lào Cai,Đỉnh Ky Quan San,Trekking leo núi; săn mây; cắm trại qua đêm,"Kỳ Quan San còn gọi là Bạch Mộc Lương Tử, là một trong những đỉnh núi thách thức bậc nhất tại Lào Cai. Chinh phục cung đường này, du khách sẽ được chiêm ngưỡng biển mây bồng bềnh tại Muối và tận hưởng cảm giác tự hào khi đứng trên độ cao 3.046m giữa đại ngàn Tây Bắc.",Mạo hiểm - Trải nghiệm,Sinh thái - Thiên nhiên
Ninh Bình,Chùa Bích Động,Tham quan chùa hang; vãn cảnh núi non; chụp ảnh cổng chùa,"Chùa Bích Động được mệnh danh là Nam thiên đệ nhị động, nằm trong quần thể di sản Tràng An. Với kiến trúc cổ kính tựa lưng vào vách núi và không gian bao quanh bởi đầm sen, nơi đây mang lại sự thanh tịnh tuyệt đối cho những ai muốn tìm về cõi Phật giữa thiên nhiên.",Tâm linh,Văn hóa;Sinh thái - Thiên nhiên
Bình Thuận,Cù Lao Câu,Tắm biển; cắm trại; câu cá; chụp ảnh bãi đá,"Cù Lao Câu là hòn đảo nhỏ hoang sơ với nước biển trong vắt nhìn thấy tận đáy tại Bình Thuận. Xung quanh đảo là những khối đá vôi đủ hình thù kỳ thú, đây là điểm đến lý tưởng cho những ai yêu thích du lịch trải nghiệm, muốn hòa mình vào thiên nhiên nguyên sơ.",Biển Đảo,Mạo hiểm - Trải nghiệm;Sinh thái - Thiên nhiên
Hà Nội,Chùa Một Cột,Tham quan kiến trúc; tìm hiểu lịch sử; chiêm bái,"Chùa Một Cột là biểu tượng văn hóa và tâm linh đặc trưng của thủ đô Hà Nội với kiến trúc độc đáo hình hoa sen nở trên mặt nước. Ngôi chùa mang đậm dấu ấn lịch sử thời Lý, thể hiện trí tuệ và tư duy thẩm mỹ đỉnh cao của người Việt cổ trong việc xây dựng đền đài.",Tâm linh,Văn hóa
Lâm Đồng,Núi Langbiang,Trekking đỉnh núi; đi xe jeep; ngắm toàn cảnh Đà Lạt,"Langbiang là nóc nhà của cao nguyên Lâm Viên, gắn liền với truyền thuyết tình yêu giữa chàng Lang và nàng Biang. Đứng từ trên đỉnh núi, du khách sẽ được chiêm ngưỡng vẻ đẹp hùng vĩ của suối Vàng, suối Bạc và toàn cảnh thành phố Đà Lạt chìm trong màn sương mờ ảo.",Mạo hiểm - Trải nghiệm,Sinh thái - Thiên nhiên;Văn hóa
Bình Dương,Lạc cảnh Đại Nam Văn Hiến,Tham quan đền thờ; vui chơi vườn thú; tắm biển nhân tạo,"Đại Nam Văn Hiến là tổ hợp du lịch quy mô khổng lồ kết hợp giữa văn hóa, tâm linh và giải trí tại Bình Dương. Với khu đền thờ dát vàng lộng lẫy, vườn thú mở và biển nhân tạo lớn nhất Việt Nam, nơi đây đáp ứng trọn vẹn nhu cầu tham quan và thư giãn của du khách.",Giải trí - Nghỉ dưỡng,Văn hóa;Tâm linh
Hòa Bình,Bản Lác,Trải nghiệm văn hóa người Thái; đạp xe; ngủ homestay,"Bản Lác tại Mai Châu là điểm đến văn hóa tiêu biểu nơi lưu giữ những nếp nhà sàn truyền thống của người dân tộc Thái. Du khách sẽ được tham gia vào các điệu múa xòe, thưởng thức cơm lam thịt nướng và cảm nhận sự hiếu khách, chân tình của con người vùng cao.",Văn hóa,Giải trí - Nghỉ dưỡng;Ẩm thực
Phú Thọ,Đền Hùng,Lễ hội đền Hùng; tham quan bảo tàng; dâng hương tưởng niệm,"Đền Hùng là cội nguồn tâm linh thiêng liêng nhất của dân tộc Việt Nam, nơi thờ phụng các vị vua Hùng có công dựng nước. Hành trình leo lên núi Nghĩa Lĩnh không chỉ là hoạt động tâm linh mà còn là dịp để mỗi người dân hướng về tổ tiên, cội nguồn và lòng tự hào dân tộc.",Tâm linh,Văn hóa
Quảng Bình,Sông Chày - Hang Tối,Zipline; tắm bùn; chèo kayak; khám phá hang động,"Sông Chày Hang Tối là điểm đến mạo hiểm hàng đầu tại Quảng Bình cho những ai yêu thích thử thách. Với trò chơi đu dây zipline vượt sông, tắm bùn tự nhiên trong lòng hang và chèo thuyền kayak trên dòng nước xanh ngọc, du khách sẽ có những trải nghiệm phấn khích khó quên.",Mạo hiểm - Trải nghiệm,Sinh thái - Thiên nhiên;Giải trí - Nghỉ dưỡng
Bắc Ninh,Chùa Phật Tích,Tham quan tượng Phật cổ; chiêm bái; ngắm cảnh từ núi,"Chùa Phật Tích là ngôi chùa cổ có lịch sử gần nghìn năm, tọa lạc bên sườn núi Lạn Kha. Nơi đây lưu giữ bảo vật quốc gia tượng Phật A Di Đà bằng đá thời Lý tinh xảo, mang lại không gian tâm linh trang nghiêm và những giá trị văn hóa nghệ thuật điêu khắc đỉnh cao.",Tâm linh,Văn hóa
